PERMNO,date,TICKER,COMNAM,RET,sprtrn
89916,10/31/2014,NXST,NEXSTAR BROADCASTING GROUP INC,0.116279,0.023201
89916,11/28/2014,NXST,NEXSTAR BROADCASTING GROUP INC,0.140514,0.024534
89916,12/31/2014,NXST,NEXSTAR BROADCASTING GROUP INC,0.009355,-0.004189
89916,01/30/2015,NXST,NEXSTAR BROADCASTING GROUP INC,-0.036590,-0.031041
89935,01/29/2010,MSHL,MARSHALL EDWARDS INC,-0.068571,-0.036974
89935,02/26/2010,MSHL,MARSHALL EDWARDS INC,-0.080368,0.028514
89935,03/31/2010,MSHL,MARSHALL EDWARDS INC,-0.157772,0.058796
89935,04/30/2010,MSHL,MARSHALL EDWARDS INC,0.047505,0.014759
89935,05/28/2010,MSHL,MARSHALL EDWARDS INC,-0.243842,-0.081976
89935,06/30/2010,MSHL,MARSHALL EDWARDS INC,-0.685000,-0.053882
89935,07/30/2010,MSHL,MARSHALL EDWARDS INC,-0.056746,0.068778
89935,08/31/2010,MSHL,MARSHALL EDWARDS INC,-0.343879,-0.047449
89935,09/30/2010,MSHL,MARSHALL EDWARDS INC,0.500385,0.087551
89935,10/29/2010,MSHL,MARSHALL EDWARDS INC,-0.017179,0.036856
89935,11/30/2010,MSHL,MARSHALL EDWARDS INC,-0.231237,-0.002290
89935,12/31/2010,MSHL,MARSHALL EDWARDS INC,0.097285,0.065300
89935,01/31/2011,MSHL,MARSHALL EDWARDS INC,2.051649,0.022646
89935,02/28/2011,MSHL,MARSHALL EDWARDS INC,-0.412148,0.031957
89935,03/31/2011,MSHL,MARSHALL EDWARDS INC,-0.092006,-0.001047
89935,04/29/2011,MSHL,MARSHALL EDWARDS INC,0.018987,0.028495
89935,05/31/2011,MSHL,MARSHALL EDWARDS INC,-0.167702,-0.013501
89935,06/30/2011,MSHL,MARSHALL EDWARDS INC,-0.238806,-0.018258
89935,07/29/2011,MSHL,MARSHALL EDWARDS INC,1.127451,-0.021474
89935,08/31/2011,MSHL,MARSHALL EDWARDS INC,-0.322581,-0.056791
89935,09/30/2011,MSHL,MARSHALL EDWARDS INC,0.006803,-0.071762
89935,10/31/2011,MSHL,MARSHALL EDWARDS INC,-0.101351,0.107723
89935,11/30/2011,MSHL,MARSHALL EDWARDS INC,-0.198496,-0.005059
89935,12/30/2011,MSHL,MARSHALL EDWARDS INC,-0.024390,0.008533
89935,01/31/2012,MSHL,MARSHALL EDWARDS INC,-0.009615,0.043583
89935,02/29/2012,MSHL,MARSHALL EDWARDS INC,-0.165049,0.040589
89935,03/30/2012,MSHL,MARSHALL EDWARDS INC,-0.116279,0.031332
89935,04/30/2012,MSHL,MARSHALL EDWARDS INC,-0.203947,-0.007497
89935,05/31/2012,MSHL,MARSHALL EDWARDS INC,0.001653,-0.062651
89935,06/29/2012,MSHL,MARSHALL EDWARDS INC,-0.305116,0.039555
89935,07/31/2012,MEIP,M E I PHARMA INC,0.111375,0.012598
89935,08/31/2012,MEIP,M E I PHARMA INC,-0.188034,0.019763
89935,09/28/2012,MEIP,M E I PHARMA INC,0.213158,0.024236
89935,10/31/2012,MEIP,M E I PHARMA INC,-0.088937,-0.019789
89935,11/30/2012,MEIP,M E I PHARMA INC,2.857143,0.002847
89935,12/31/2012,MEIP,M E I PHARMA INC,-0.279815,0.007068
89935,01/31/2013,MEIP,M E I PHARMA INC,-0.285735,0.050428
89935,02/28/2013,MEIP,M E I PHARMA INC,0.490000,0.011061
89935,03/28/2013,MEIP,M E I PHARMA INC,0.158389,0.035988
89935,04/30/2013,MEIP,M E I PHARMA INC,0.033604,0.018086
89935,05/31/2013,MEIP,M E I PHARMA INC,-0.058296,0.020763
89935,06/28/2013,MEIP,M E I PHARMA INC,-0.151190,-0.014999
89935,07/31/2013,MEIP,M E I PHARMA INC,0.064516,0.049462
89935,08/30/2013,MEIP,M E I PHARMA INC,-0.017128,-0.031298
89935,09/30/2013,MEIP,M E I PHARMA INC,0.508043,0.029749
89935,10/31/2013,MEIP,M E I PHARMA INC,-0.287111,0.044596
89935,11/29/2013,MEIP,M E I PHARMA INC,-0.012469,0.028049
89935,12/31/2013,MEIP,M E I PHARMA INC,0.011364,0.023563
89935,01/31/2014,MEIP,M E I PHARMA INC,0.056180,-0.035583
89935,02/28/2014,MEIP,M E I PHARMA INC,0.020095,0.043117
89935,03/31/2014,MEIP,M E I PHARMA INC,0.289687,0.006932
89935,04/30/2014,MEIP,M E I PHARMA INC,-0.297394,0.006201
89935,05/30/2014,MEIP,M E I PHARMA INC,-0.213555,0.021030
89935,06/30/2014,MEIP,M E I PHARMA INC,0.030894,0.019058
89935,07/31/2014,MEIP,M E I PHARMA INC,0.023659,-0.015080
89935,08/29/2014,MEIP,M E I PHARMA INC,0.121726,0.037655
89935,09/30/2014,MEIP,M E I PHARMA INC,-0.052198,-0.015514
89935,10/31/2014,MEIP,M E I PHARMA INC,0.166667,0.023201
89935,11/28/2014,MEIP,M E I PHARMA INC,-0.206211,0.024534
89935,12/31/2014,MEIP,M E I PHARMA INC,-0.331768,-0.004189
